Stock_ID,Pattern,Signals,Win_Rate(%),Avg_Return(%),Max_Drawdown(%),Expected_Value(%)
7780.TW,P08_黃金交叉量增,1,100.0,204.77,-2.81,204.77
1752.TW,P07_RSI超賣量縮,44,59.09,228.92,-6.33,132.41
7799.TW,P09_量縮後爆量紅K,1,100.0,124.26,-7.84,124.26
6805.TW,P09_量縮後爆量紅K,2,100.0,108.36,-6.44,108.36
6949.TW,P08_黃金交叉量增,4,100.0,98.46,-5.05,98.46
9103.TW,P12_多頭回檔,18,88.89,103.19,-7.71,90.95
7610.TW,P01_量縮價穩,3,100.0,80.96,-7.68,80.96
6949.TW,P03_均線支撐放量,8,87.5,79.33,-11.57,68.54
7788.TW,P06_價量背離,2,100.0,64.49,-1.22,64.49
7788.TW,P07_RSI超賣量縮,2,100.0,64.49,-1.22,64.49
6949.TW,P11_多頭排列紅K,14,78.57,83.89,-14.12,64.42
2376.TW,P09_量縮後爆量紅K,3,100.0,63.94,-1.25,63.94
7788.TW,P01_量縮價穩,1,100.0,60.58,-3.85,60.58
7799.TW,P04_長下影線放量,4,75.0,78.79,-15.89,57.34
1752.TW,P06_價量背離,80,48.75,123.18,-7.53,56.46
4949.TW,P04_長下影線放量,5,100.0,56.01,-9.24,56.01
6949.TW,P09_量縮後爆量紅K,3,100.0,55.19,-11.49,55.19
6919.TW,P08_黃金交叉量增,2,100.0,54.6,-1.74,54.6
3661.TW,P08_黃金交叉量增,2,100.0,53.96,-2.42,53.96
3138.TW,P04_長下影線放量,44,84.09,64.89,-12.04,53.45
3653.TW,P07_RSI超賣量縮,8,100.0,49.25,-8.04,49.25
7780.TW,P02_量增紅K,8,75.0,66.25,-12.38,47.94
6446.TW,P08_黃金交叉量增,10,90.0,53.77,-11.55,47.69
7610.TW,P07_RSI超賣量縮,4,100.0,45.78,-8.5,45.78
6919.TW,P02_量增紅K,14,100.0,45.26,-6.21,45.26
6805.TW,P02_量增紅K,3,100.0,44.78,-7.1,44.78
3715.TW,P04_長下影線放量,9,88.89,49.03,-8.93,42.81
6805.TW,P06_價量背離,8,100.0,42.73,-19.17,42.73
2387.TW,P09_量縮後爆量紅K,5,80.0,54.99,-5.49,42.59
6933.TW,P08_黃金交叉量增,2,100.0,42.14,-26.44,42.14
7795.TW,P11_多頭排列紅K,11,100.0,40.95,-2.51,40.95
2340.TW,P09_量縮後爆量紅K,5,100.0,40.59,-11.45,40.59
9906.TW,P08_黃金交叉量增,9,100.0,40.32,-9.48,40.32
7780.TW,P07_RSI超賣量縮,7,85.71,48.0,-10.7,40.14
6919.TW,P03_均線支撐放量,5,100.0,39.84,-2.74,39.84
3715.TW,P11_多頭排列紅K,29,89.66,44.43,-7.8,39.11
6949.TW,P02_量增紅K,12,75.0,53.86,-12.25,38.64
3715.TW,P03_均線支撐放量,5,60.0,66.93,-5.39,37.36
6805.TW,P07_RSI超賣量縮,9,88.89,42.55,-26.27,37.05
6805.TW,P03_均線支撐放量,6,100.0,37.01,-19.5,37.01
6919.TW,P10_組合訊號,13,100.0,36.06,-10.87,36.06
6215.TW,P08_黃金交叉量增,4,100.0,35.98,-4.71,35.98
6944.TW,P05_連跌反轉紅K,2,100.0,35.78,-4.14,35.78
3138.TW,P03_均線支撐放量,26,65.38,58.06,-18.23,35.54
6944.TW,P07_RSI超賣量縮,2,100.0,35.17,-1.11,35.17
8467.TW,P08_黃金交叉量增,4,100.0,35.17,-7.61,35.17
3715.TW,P08_黃金交叉量增,6,66.67,56.23,-11.94,35.15
6949.TW,P12_多頭回檔,14,50.0,76.46,-13.65,34.73
2303.TW,P09_量縮後爆量紅K,2,100.0,34.32,-1.63,34.32
6919.TW,P05_連跌反轉紅K,18,88.89,38.83,-10.78,33.73
2345.TW,P08_黃金交叉量增,4,100.0,33.6,-1.94,33.6
6949.TW,P04_長下影線放量,25,80.0,43.6,-12.14,33.48
7750.TW,P07_RSI超賣量縮,2,100.0,33.4,-10.8,33.4
6782.TW,P08_黃金交叉量增,4,100.0,32.97,-2.0,32.97
6781.TW,P10_組合訊號,10,90.0,36.98,-11.66,32.58
6919.TW,P11_多頭排列紅K,47,91.49,35.7,-10.56,32.07
7711.TW,P03_均線支撐放量,3,100.0,31.91,-8.26,31.91
6854.TW,P10_組合訊號,20,80.0,41.62,-13.19,31.89
6531.TW,P08_黃金交叉量增,6,83.33,39.58,-7.75,31.82
6949.TW,P10_組合訊號,16,68.75,49.43,-13.38,31.8
1519.TW,P09_量縮後爆量紅K,8,100.0,31.59,-12.63,31.59
6781.TW,P02_量增紅K,6,100.0,31.57,-4.61,31.57
6669.TW,P06_價量背離,10,100.0,31.52,-7.78,31.52
7799.TW,P11_多頭排列紅K,9,77.78,42.33,-15.53,31.37
2408.TW,P09_量縮後爆量紅K,6,66.67,49.92,-19.05,30.95
7722.TW,P09_量縮後爆量紅K,1,100.0,30.9,-4.8,30.9
2368.TW,P07_RSI超賣量縮,19,94.74,32.91,-7.86,30.81
4961.TW,P02_量增紅K,23,65.22,50.93,-13.09,30.78
3037.TW,P09_量縮後爆量紅K,2,100.0,30.71,-14.91,30.71
6944.TW,P01_量縮價穩,4,100.0,30.59,-4.75,30.59
6919.TW,P06_價量背離,9,66.67,49.07,-13.33,30.38
2383.TW,P06_價量背離,12,91.67,33.72,-7.22,30.33
2605.TW,P09_量縮後爆量紅K,4,75.0,42.75,-14.79,30.31
8996.TW,P06_價量背離,52,90.38,33.97,-10.97,30.03
4967.TW,P11_多頭排列紅K,38,86.84,35.3,-10.49,29.73
7799.TW,P10_組合訊號,3,66.67,47.87,-17.23,29.58
6472.TW,P09_量縮後爆量紅K,8,87.5,34.75,-3.77,29.53
6515.TW,P09_量縮後爆量紅K,2,100.0,29.48,-9.97,29.48
6944.TW,P09_量縮後爆量紅K,1,100.0,29.36,-4.01,29.36
6944.TW,P06_價量背離,2,100.0,29.22,-3.01,29.22
4967.TW,P03_均線支撐放量,21,76.19,40.54,-9.01,29.22
7780.TW,P06_價量背離,11,100.0,28.96,-10.81,28.96
2367.TW,P08_黃金交叉量增,3,100.0,28.87,-2.92,28.87
6944.TW,P03_均線支撐放量,3,100.0,28.76,-5.01,28.76
3661.TW,P01_量縮價穩,17,88.24,33.52,-13.69,28.75
7795.TW,P05_連跌反轉紅K,5,100.0,28.56,-4.7,28.56
3138.TW,P05_連跌反轉紅K,34,79.41,37.43,-16.72,28.28
6944.TW,P12_多頭回檔,4,100.0,28.27,-5.01,28.27
7799.TW,P02_量增紅K,6,66.67,45.77,-17.98,28.18
6838.TW,P09_量縮後爆量紅K,1,100.0,28.12,-5.86,28.12
3533.TW,P07_RSI超賣量縮,18,94.44,30.01,-8.67,27.96
2009.TW,P08_黃金交叉量增,4,75.0,39.38,-6.75,27.79
3661.TW,P02_量增紅K,5,80.0,36.3,-14.99,27.64
3138.TW,P07_RSI超賣量縮,54,83.33,34.53,-17.4,27.61
